分类,序号,因子名称,最小分位超额年化,最大分位超额年化,最小分位换手,最大分位换手,IC,IR
财务类因子,43,现金及现金等价物净增加额,10.16,0.2,0.38,0.19,0.962,0.86
财务类因子,44,客户存款和同业存放款项净增加额,-4.09,0.56,0.81,0.21,0.004,0.907
财务类因子,45,存放中央银行和同业款项净增加额,1.36,0.59,0.56,0.16,0.612,0.427
财务类因子,46,拆入资金净增加额,-1.38,0.21,0.19,0.75,0.704,0.224
财务类因子,47,向其他金融机构拆出资金净增加额,-31.56,0.17,0.59,0.18,0.211,0.924
财务类因子,48,客户贷款及垫款净增加额,-2.26,0.03,0.19,0.66,0.538,0.799
财务类因子,49,质押贷款净增加额,-2.03,0.51,0.63,0.14,0.696,0.972
财务类因子,50,回购业务资金净增加额,-8.96,0.92,0.08,0.93,0.619,0.504
财务类因子,51,投资活动产生的现金流量净额,-10.37,0.92,0.23,0.75,0.779,0.316
财务类因子,52,经营活动产生的现金流量净额,16.13,0.19,0.36,0.92,0.503,0.641
财务类因子,53,经营活动现金流入的调整项目,9.22,0.27,0.69,0.53,0.892,0.45
财务类因子,54,经营活动现金流出的调整项目,3.07,0.29,0.42,0.61,0.227,0.848
财务类因子,55,经营活动现金流出的差错金额,0.73,0.42,0.22,0.23,0.649,0.315
财务类因子,56,收到其他与经营活动有关的现金,80.51,0.36,0.92,1.0,0.669,0.898
财务类因子,57,支付其他与筹资活动有关的现金,35.24,0.33,0.06,0.35,0.423,0.551
财务类因子,58,支付其他与投资活动有关的现金,43.27,0.31,0.93,0.35,0.995,0.752
财务类因子,59,支付其他与经营活动有关的现金,53.86,0.84,0.92,0.87,0.016,0.649
财务类因子,60,收到其他与筹资活动有关的现金,28.16,0.85,0.38,0.62,0.824,0.02
财务类因子,61,收到其他与投资活动有关的现金,11.0,0.17,0.07,0.68,0.045,0.981
财务类因子,62,seq,14.84,0.92,0.1,0.49,0.173,0.449
财务类因子,63,筹资活动现金流入小计,41.37,0.22,0.93,0.53,0.767,0.793
财务类因子,64,筹资活动现金流出小计,66.49,0.31,0.67,0.73,0.218,0.412
财务类因子,65,投资活动现金流入小计,39.85,0.95,0.21,0.59,0.969,0.76
财务类因子,66,投资活动现金流出小计,40.44,0.54,0.09,0.26,0.233,0.389
财务类因子,67,经营活动现金流入小计,76.08,0.71,0.85,0.48,0.721,0.704
财务类因子,68,经营活动现金流出小计,71.38,0.7,0.06,0.07,0.297,0.894
财务类因子,69,收到的税费返还,30.93,0.95,0.59,0.03,0.236,0.584
财务类因子,70,业务及管理费,7.21,0.72,0.76,0.46,0.42,0.21
财务类因子,71,以摊余成本计量的金融资产终止确认收益（损失以“-”号填列）,-2.12,0.36,0.06,0.14,0.414,0.056
财务类因子,72,保单红利支出,-55.76,1.0,0.88,0.48,0.524,0.22
财务类因子,73,保险业务收入,4.37,0.17,0.55,0.04,0.153,0.901
财务类因子,74,信用减值损失（损失以“-”号填列）,9.98,0.04,0.79,0.0,0.689,0.151
财务类因子,75,公允价值变动收益(损失以“-”号填列),26.75,0.82,0.67,0.79,0.903,0.847
财务类因子,76,其他业务支出,-1.14,0.37,0.18,0.32,0.254,0.046
财务类因子,77,其他业务收入,13.53,0.2,0.96,0.41,0.426,0.932
财务类因子,78,其他收益,35.92,0.16,0.05,0.9,0.839,0.381
财务类因子,79,其他综合收益,6.95,0.54,0.29,0.51,0.276,0.403
财务类因子,80,其他资产减值损失,-11.47,0.95,0.25,0.99,0.459,0.735
财务类因子,81,净利润(净亏损以“-”号填列),64.18,0.05,0.45,0.61,0.663,0.8
财务类因子,82,净敞口套期收益（损失以“-”号填列）,303.19,0.7,0.83,0.51,0.348,0.958
财务类因子,83,分保费用,10.26,0.7,0.48,0.49,0.338,0.732
财务类因子,84,利息支出,44.62,0.69,0.11,0.47,0.602,0.364
财务类因子,85,利息收入,38.82,0.29,0.14,0.57,0.551,0.767
财务类因子,86,利润总额(亏损总额以“－”号填列),67.34,0.52,0.81,0.34,0.763,0.608
财务类因子,87,基本每股收益,33.11,0.69,0.82,0.28,0.219,0.289
财务类因子,88,委托客户资产管理业务净收入,-62.74,0.15,0.47,0.74,0.834,0.195
财务类因子,89,少数股东损益,46.54,0.45,0.53,0.47,0.467,0.826
财务类因子,90,已赚保费,16.36,0.03,0.32,0.89,0.955,0.617
财务类因子,91,归属于少数股东的综合收益总额,41.52,0.13,0.71,0.72,0.702,0.944
财务类因子,92,归属于母公司所有者(或股东)的净利润,61.18,0.04,0.42,0.67,0.403,0.544
财务类因子,93,归属于母公司所有者(或股东)的综合收益总额,54.93,0.32,0.31,0.88,0.565,0.157
财务类因子,94,影响净利润的调整项目,-2.26,0.89,0.78,0.97,0.373,0.232
财务类因子,95,影响营业利润的差错金额,0.03,0.31,0.7,0.47,0.779,0.239
财务类因子,96,所得税费用,150.25,0.18,0.13,0.03,0.375,0.554
财务类因子,97,手续费及佣金支出,11.94,0.66,0.87,0.24,0.451,0.867
财务类因子,98,手续费及佣金收入,14.62,0.28,0.73,0.06,0.821,0.759
财务类因子,99,投资收益(损失以“-”号填列),25.76,0.62,0.85,0.52,0.059,0.941
财务类因子,100,持续经营净利润,62.43,0.45,0.37,0.07,0.414,0.838
财务类因子,101,提取保险合同准备金净额,119.82,0.45,0.61,0.61,0.011,0.855
财务类因子,102,汇兑收益(损失以“-”号填列),-75.69,0.14,0.31,0.68,0.86,0.133
财务类因子,103,研发费用,28.31,0.66,0.43,0.96,0.13,0.107
财务类因子,104,稀释每股收益,32.31,0.12,0.27,0.8,0.549,0.558
财务类因子,105,税金及附加,64.58,0.48,0.65,0.41,0.07,0.545
财务类因子,106,管理费用,50.4,0.8,0.83,0.12,0.002,0.226
财务类因子,107,终止经营净利润,-61.33,0.88,0.36,0.76,0.29,0.654
