序号,因子名称,最小分位超额年化,最大分位超额年化,最小分位换手,最大分位换手,IC,IR
199,客户存款和同业存放款项净减少额,-0.06%,0.06%,0.03%,0.52%,0.316,0.815
200,存放中央银行和同业款项净减少额,3.30%,0.03%,0.86%,0.47%,0.461,0.400
201,向其他金融机构拆出资金净减少额,-12.58%,0.76%,0.77%,0.59%,0.139,0.649
202,筹资活动产生的现金流量净额,-3.11%,0.37%,0.70%,0.21%,0.524,0.509
203,处置交易性金融资产净增加额,19.84%,0.84%,0.30%,0.79%,0.872,0.325
204,保户储金及投资款净增加额,-3.02%,0.76%,0.19%,0.45%,0.718,0.378
205,向中央银行借款净增加额,-16.82%,0.96%,0.79%,0.05%,0.921,0.868
206,向其他金融机构拆入资金净增加额,-68.35%,0.89%,0.10%,0.48%,0.077,0.140
207,现金及现金等价物净增加额,10.16%,0.20%,0.38%,0.19%,0.962,0.860
208,客户存款和同业存放款项净增加额,-4.09%,0.56%,0.81%,0.21%,0.004,0.907
209,存放中央银行和同业款项净增加额,1.36%,0.59%,0.56%,0.16%,0.612,0.427
210,拆入资金净增加额,-1.38%,0.21%,0.19%,0.75%,0.704,0.224
211,向其他金融机构拆出资金净增加额,-31.56%,0.17%,0.59%,0.18%,0.211,0.924
212,客户贷款及垫款净增加额,-2.26%,0.03%,0.19%,0.66%,0.538,0.799
213,质押贷款净增加额,-2.03%,0.51%,0.63%,0.14%,0.696,0.972
214,回购业务资金净增加额,-8.96%,0.92%,0.08%,0.93%,0.619,0.504
215,投资活动产生的现金流量净额,-10.37%,0.92%,0.23%,0.75%,0.779,0.316
216,经营活动产生的现金流量净额,16.13%,0.19%,0.36%,0.92%,0.503,0.641
217,经营活动现金流入的调整项目,9.22%,0.27%,0.69%,0.53%,0.892,0.450
218,经营活动现金流出的调整项目,3.07%,0.29%,0.42%,0.61%,0.227,0.848
219,经营活动现金流出的差错金额,0.73%,0.42%,0.22%,0.23%,0.649,0.315
220,收到其他与经营活动有关的现金,80.51%,0.36%,0.92%,1.00%,0.669,0.898
221,支付其他与筹资活动有关的现金,35.24%,0.33%,0.06%,0.35%,0.423,0.551
222,支付其他与投资活动有关的现金,43.27%,0.31%,0.93%,0.35%,0.995,0.752
223,支付其他与经营活动有关的现金,53.86%,0.84%,0.92%,0.87%,0.016,0.649
224,收到其他与筹资活动有关的现金,28.16%,0.85%,0.38%,0.62%,0.824,0.020
225,收到其他与投资活动有关的现金,11.00%,0.17%,0.07%,0.68%,0.045,0.981
226,seq,14.84%,0.92%,0.10%,0.49%,0.173,0.449
227,筹资活动现金流入小计,41.37%,0.22%,0.93%,0.53%,0.767,0.793
228,筹资活动现金流出小计,66.49%,0.31%,0.67%,0.73%,0.218,0.412
229,投资活动现金流入小计,39.85%,0.95%,0.21%,0.59%,0.969,0.760
230,投资活动现金流出小计,40.44%,0.54%,0.09%,0.26%,0.233,0.389
231,经营活动现金流入小计,76.08%,0.71%,0.85%,0.48%,0.721,0.704
232,经营活动现金流出小计,71.38%,0.70%,0.06%,0.07%,0.297,0.894
233,收到的税费返还,30.93%,0.95%,0.59%,0.03%,0.236,0.584
234,业务及管理费,7.21%,0.72%,0.76%,0.46%,0.420,0.210
235,以摊余成本计量的金融资产终止确认收益（损失以“-”号填列）,-2.12%,0.36%,0.06%,0.14%,0.414,0.056
236,保单红利支出,-55.76%,1.00%,0.88%,0.48%,0.524,0.220
237,保险业务收入,4.37%,0.17%,0.55%,0.04%,0.153,0.901
238,信用减值损失（损失以“-”号填列）,9.98%,0.04%,0.79%,0.00%,0.689,0.151
239,公允价值变动收益(损失以“-”号填列),26.75%,0.82%,0.67%,0.79%,0.903,0.847
240,其他业务支出,-1.14%,0.37%,0.18%,0.32%,0.254,0.046
241,其他业务收入,13.53%,0.20%,0.96%,0.41%,0.426,0.932
242,其他收益,35.92%,0.16%,0.05%,0.90%,0.839,0.381
243,其他综合收益,6.95%,0.54%,0.29%,0.51%,0.276,0.403
244,其他资产减值损失,-11.47%,0.95%,0.25%,0.99%,0.459,0.735
245,净利润(净亏损以“-”号填列),64.18%,0.05%,0.45%,0.61%,0.663,0.800
246,净敞口套期收益（损失以“-”号填列）,303.19%,0.70%,0.83%,0.51%,0.348,0.958
247,分保费用,10.26%,0.70%,0.48%,0.49%,0.338,0.732
248,利息支出,44.62%,0.69%,0.11%,0.47%,0.602,0.364
249,利息收入,38.82%,0.29%,0.14%,0.57%,0.551,0.767
250,利润总额(亏损总额以“－”号填列),67.34%,0.52%,0.81%,0.34%,0.763,0.608
251,基本每股收益,33.11%,0.69%,0.82%,0.28%,0.219,0.289
252,委托客户资产管理业务净收入,-62.74%,0.15%,0.47%,0.74%,0.834,0.195
253,少数股东损益,46.54%,0.45%,0.53%,0.47%,0.467,0.826
254,已赚保费,16.36%,0.03%,0.32%,0.89%,0.955,0.617
255,归属于少数股东的综合收益总额,41.52%,0.13%,0.71%,0.72%,0.702,0.944
256,归属于母公司所有者(或股东)的净利润,61.18%,0.04%,0.42%,0.67%,0.403,0.544
257,归属于母公司所有者(或股东)的综合收益总额,54.93%,0.32%,0.31%,0.88%,0.565,0.157
258,影响净利润的调整项目,-2.26%,0.89%,0.78%,0.97%,0.373,0.232
259,影响营业利润的差错金额,0.03%,0.31%,0.70%,0.47%,0.779,0.239
260,所得税费用,150.25%,0.18%,0.13%,0.03%,0.375,0.554
261,手续费及佣金支出,11.94%,0.66%,0.87%,0.24%,0.451,0.867
262,手续费及佣金收入,14.62%,0.28%,0.73%,0.06%,0.821,0.759
263,投资收益(损失以“-”号填列),25.76%,0.62%,0.85%,0.52%,0.059,0.941
264,持续经营净利润,62.43%,0.45%,0.37%,0.07%,0.414,0.838
265,提取保险合同准备金净额,119.82%,0.45%,0.61%,0.61%,0.011,0.855
266,汇兑收益(损失以“-”号填列),-75.69%,0.14%,0.31%,0.68%,0.860,0.133
267,研发费用,28.31%,0.66%,0.43%,0.96%,0.130,0.107
268,稀释每股收益,32.31%,0.12%,0.27%,0.80%,0.549,0.558
269,税金及附加,64.58%,0.48%,0.65%,0.41%,0.070,0.545
270,管理费用,50.40%,0.80%,0.83%,0.12%,0.002,0.226
